legal_entity_id,legal_entity_name,legal_entity_edrpou,care_type,property_type,legal_entity_email,legal_entity_phone,legal_entity_owner_name,registration_area,registration_settlement,registration_address,lat,lng
00031367-5ba0-48d5-931b-3c9f23d9951b,"НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ""СОЦІАЛМЕДИКА"" ГРОМАДСЬКОЇ ОРГАНІЗАЦІЇ ""СІЛІЦЕЯ-КЛАСТЕР""",43130119,Первинна,Приватна (без ФОП),socialmedika24@ukr.net,+380960820870,Гайдайчук Олена Анатоліївна,ХМЕЛЬНИЦЬКА,ІЗЯСЛАВ,"Україна, 30300, Хмельницька обл., Ізяславський р-н, місто Ізяслав, ВУЛИЦЯ ШЕВЧЕНКА, будинок 10В",50.1191124,26.8281141
000d2d82-5add-4b07-89d1-db5067d3ccb2,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДІКС КОМПАНІЯ УПРАВЛІННЯ""",43642846,Первинна,Приватна (без ФОП),rusin.medics@gmail.com,+380975407887,Русін Олександр Леонідович,ХМЕЛЬНИЦЬКА,ХМЕЛЬНИЦЬКИЙ,"Україна, 29015, Хмельницька обл., місто Хмельницький, ПРОСПЕКТ МИРУ, будинок 92, квартира 138",49.422983,26.987133
00197725-d848-4e26-aa6c-7612fd5169e1,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КОЛОМИЙСЬКОЇ МІСЬКОЇ РАДИ ""КОЛОМИЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",39007143,Первинна,Комунальна,medcentr.kolomyia@gmail.com,+380343346364,Буртик Марія Володимирівна,ІВАНО-ФРАНКІВСЬКА,КОЛОМИЯ,"Україна, 78200, Івано-Франківська обл., місто Коломия, ВУЛИЦЯ В'ЯЧЕСЛАВА ЧОРНОВОЛА, будинок 32",48.5304917,25.0412054
002b4bd5-2d0a-4c48-8d17-7b24f4dc96bd,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НІКОПОЛЬСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",37677525,Первинна,Комунальна,nr_cpmsd@ukr.net,"+380566696059, +380566696059",Келембет Юлія Павлівна,ДНІПРОПЕТРОВСЬКА,ЧЕРВОНОГРИГОРІВКА,"Україна, 53283, Дніпропетровська обл., Нікопольський р-н, селище міського типу Червоногригорівка, вул.Ярмарочна, будинок 31",47.6264367,34.5297956
004403cc-1f4d-43c4-98dd-9fc5cea0d36e,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ДАШІВСЬКОЇ СЕЛИЩНОЇ РАДИ",37423921,Первинна,Комунальна,illincy_kpzpmsd@ukr.net,+380963478354,Коваль Василь Іванович,ВІННИЦЬКА,ДАШІВ,"Україна, 22740, Вінницька обл., Іллінецький р-н, селище міського типу Дашів, вул.Пирогова, будинок 2",48.9957904,29.4397153
0044d0db-6de8-49cf-ab15-113be343a977,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОКСФОРД МЕДІКАЛ-ВІННИЦЯ""",36604084,Первинна,Приватна (без ФОП),oxfordmedvn@gmail.com,"+380682712121, +380432605005",Мельничук Валентина Анатоліївна,ВІННИЦЬКА,ВІННИЦЯ,"Україна, 21018, Вінницька обл., місто Вінниця, ВУЛИЦЯ ПИРОГОВА, будинок 34",49.233083,28.468217
0069e102-1bfb-45dd-b747-0fc3db883c2b,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДНІПРОВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №4"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ",37899673,Первинна,Комунальна,dcpmsd4kashtan@gmail.com,+380682999570,Подольний Андрій Анатолійович,ДНІПРОПЕТРОВСЬКА,ДНІПРО,"Україна, 49030, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ ЛАМАНА, будинок 4",48.464717,35.046183
00b3d52f-0d78-487c-b5e4-836dea432925,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)",01981738,Спеціалізована,Комунальна,kcrz@ukr.net,"+380506950096, +380445646534",Іванько Олександр Вікторович,М.КИЇВ,КИЇВ,"Україна, 02091, місто Київ, ВУЛИЦЯ ХАРКІВСЬКЕ ШОСЕ , будинок 121",50.4138155,30.6658589
00babe6a-f61f-4984-80e5-e4889238dc34,ЧОРНОБАЙ МИРОСЛАВА ВОЛОДИМИРІВНА,ФОП,Первинна,ФОП,muroska91@ukr.net,+380988429648,Чорнобай Мирослава Володимирівна,ТЕРНОПІЛЬСЬКА,ШУМСЬК,"Україна, 47100, Тернопільська обл., Шумський р-н, місто Шумськ, ВУЛИЦЯ УКРАЇНСЬКА, будинок 93",50.116847,26.1172791
00c0b236-ff27-48a0-80f1-658420fffca5,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТАРАЩАНСЬКОЇ МІСЬКОЇ РАДИ ""ТАРАЩАНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",38230449,Первинна,Комунальна,taracpmsd@gmail.com,+380456653389,Антонець Петро Ігнатович,КИЇВСЬКА,ТАРАЩА,"Україна, 09501, Київська обл., Білоцерківський р-н, місто Тараща, вул.Шевченка, будинок 64",49.5619951,30.4973909
